entityName,entityType,holeID,startXLocation,startYLocation,startZLocation,endXLocation,endYLocation,endZLocation,gradeXLocation,gradeYLocation,gradeZLocation,subdrillAmount,subdrillLength,benchHeight,holeDiameter,holeType,holeLengthCalculated,holeAngle,holeBearing,fromHoleID,timingDelayMilliseconds,colorHexDecimal,measuredLength,measuredLengthTimeStamp,measuredMass,measuredMassTimeStamp,measuredComment,measuredCommentTimeStamp,visible,rowID,posID,burden,spacing,connectorCurve,holeTime
WINDING,hole,1,478282.5276,6772280.8763,210,478282.5276,6772280.8763,198.5000,478282.5276,6772280.8763,198.5000,0,0,11.5000,229,Production,11.5000,0,90,WINDING:::1,0,red,0,09/05/1975 00:00:00,0,09/05/1975 00:00:00,None,09/05/1975 00:00:00,"true",1,1,4.6680,5.9820,0,0
WINDING,hole,2,478286.5509,6772276.4497,210,478286.5509,6772276.4497,198.5000,478286.5509,6772276.4497,198.5000,0,0,11.5000,229,Production,11.5000,0,90,WINDING:::2,0,red,0,09/05/1975 00:00:00,0,09/05/1975 00:00:00,None,09/05/1975 00:00:00,"true",1,2,4.6680,5.9770,0,0
WINDING,hole,3,478289.4966,6772271.2485,210,478289.4966,6772271.2485,198.5000,478289.4966,6772271.2485,198.5000,0,0,11.5000,229,Production,11.5000,0,90,WINDING:::3,0,red,0,09/05/1975 00:00:00,0,09/05/1975 00:00:00,None,09/05/1975 00:00:00,"true",1,3,4.6680,5.9760,0,0
WINDING,hole,4,478291.1276,6772265.4997,210,478291.1276,6772265.4997,198.5000,478291.1276,6772265.4997,198.5000,0,0,11.5000,229,Production,11.5000,0,90,WINDING:::4,0,red,0,09/05/1975 00:00:00,0,09/05/1975 00:00:00,None,09/05/1975 00:00:00,"true",1,4,4.6680,5.9790,0,0
WINDING,hole,5,478291.2652,6772259.5226,210,478291.2652,6772259.5226,198.5000,478291.2652,6772259.5226,198.5000,0,0,11.5000,229,Production,11.5000,0,90,WINDING:::5,0,red,0,09/05/1975 00:00:00,0,09/05/1975 00:00:00,None,09/05/1975 00:00:00,"true",1,5,4.6680,5.9790,0,0
WINDING,hole,6,478290.0808,6772253.6620,210,478290.0808,6772253.6620,198.5000,478290.0808,6772253.6620,198.5000,0,0,11.5000,229,Production,11.5000,0,90,WINDING:::6,0,red,0,09/05/1975 00:00:00,0,09/05/1975 00:00:00,None,09/05/1975 00:00:00,"true",1,6,4.6680,5.9950,0,0
WINDING,hole,7,478288.7974,6772247.8055,210,478288.7974,6772247.8055,198.5000,478288.7974,6772247.8055,198.5000,0,0,11.5000,229,Production,11.5000,0,90,WINDING:::7,0,red,0,09/05/1975 00:00:00,0,09/05/1975 00:00:00,None,09/05/1975 00:00:00,"true",1,7,4.6680,5.9790,0,0
WINDING,hole,8,478288.6413,6772241.8283,210,478288.6413,6772241.8283,198.5000,478288.6413,6772241.8283,198.5000,0,0,11.5000,229,Production,11.5000,0,90,WINDING:::8,0,red,0,09/05/1975 00:00:00,0,09/05/1975 00:00:00,None,09/05/1975 00:00:00,"true",1,8,4.6680,5.9790,0,0
WINDING,hole,9,478289.8075,6772235.9646,210,478289.8075,6772235.9646,198.5000,478289.8075,6772235.9646,198.5000,0,0,11.5000,229,Production,11.5000,0,90,WINDING:::9,0,red,0,09/05/1975 00:00:00,0,09/05/1975 00:00:00,None,09/05/1975 00:00:00,"true",1,9,4.6680,5.9810,0,0
WINDING,hole,10,478296.3388,6772233.5383,210,478296.3388,6772233.5383,198.5000,478296.3388,6772233.5383,198.5000,0,0,11.5000,229,Production,11.5000,0,90,WINDING:::10,0,red,0,09/05/1975 00:00:00,0,09/05/1975 00:00:00,None,09/05/1975 00:00:00,"true",2,1,3.0750,5.9790,0,0
