Layer Name,Hole Name,Collar X,Collar Y,Collar Z,Burden,Spacing,Dip,Bearing,Diameter,Drill Length,Subdrill,Toe X,Toe Y,Toe Z
S5_346_516_V2,19,478830.527,6772564.39,357.852,3,3.6,90,0,0.165,12.2,0.3,478830.527,6772564.39,345.7
S5_346_516_V2,20,478828.305,6772567.221,357.813,3,3.6,90,0,0.165,12.1,0.3,478828.305,6772567.22,345.7
S5_346_516_V2,21,478826.082,6772570.053,357.838,3,3.6,90,0,0.165,12.1,0.3,478826.082,6772570.05,345.7
S5_346_516_V2,22,478823.859,6772572.885,357.922,3,3.6,90,0,0.165,12.2,0.3,478823.859,6772572.88,345.7
S5_346_516_V2,23,478821.636,6772575.717,357.974,3,3.6,90,0,0.165,12.3,0.3,478821.636,6772575.72,345.7
S5_346_516_V2,24,478819.413,6772578.548,357.957,3,3.6,90,0,0.165,12.3,0.3,478819.413,6772578.55,345.7
S5_346_516_V2,25,478817.19,6772581.38,357.969,3,3.6,90,0,0.165,12.3,0.3,478817.19,6772581.38,345.7
S5_346_516_V2,26,478814.967,6772584.212,357.977,3,3.6,90,0,0.165,12.3,0.3,478814.967,6772584.21,345.7
S5_346_516_V2,27,478812.744,6772587.044,357.904,3,3.6,90,0,0.165,12.2,0.3,478812.744,6772587.04,345.7
S5_346_516_V2,28,478810.522,6772589.875,357.899,3,3.6,90,0,0.165,12.2,0.3,478810.522,6772589.88,345.7
S5_346_516_V2,29,478807.954,6772592.526,358.066,3,3.6,90,0,0.165,12.4,0.3,478807.954,6772592.53,345.7
S5_346_516_V2,30,478805.764,6772595.266,358.105,3,3.6,90,0,0.165,12.4,0.3,478805.764,6772595.27,345.7
S5_346_516_V2,31,478803.243,6772597.836,358.247,3,3.6,90,0,0.165,12.5,0.3,478803.243,6772597.84,345.7
S5_346_516_V2,32,478800.722,6772600.406,358.119,3,3.6,90,0,0.165,12.4,0.3,478800.722,6772600.41,345.7
S5_346_516_V2,33,478798.218,6772602.992,358.221,3,3.6,90,0,0.165,12.5,0.3,478798.218,6772602.99,345.7
S5_346_516_V2,34,478795.72,6772605.585,358.181,3,3.6,90,0,0.165,12.5,0.3,478795.72,6772605.58,345.7
S5_346_516_V2,35,478793.534,6772608.472,358.168,3,3.6,90,0,0.165,12.5,0.3,478793.534,6772608.47,345.7
S5_346_516_V2,36,478790.724,6772610.77,358.147,3,3.6,90,0,0.165,12.4,0.3,478790.724,6772610.77,345.7
S5_346_516_V2,37,478788.227,6772613.362,358.329,3,3.6,90,0,0.165,12.6,0.3,478788.227,6772613.36,345.7
S5_346_516_V2,38,478785.209,6772615.852,358.565,3,3.6,90,0,0.165,12.9,0.3,478785.209,6772615.85,345.7
S5_346_516_V2,39,478783.231,6772618.547,358.645,3,3.6,90,0,0.165,12.9,0.3,478783.231,6772618.55,345.7
S5_346_516_V2,40,478780.733,6772621.14,358.646,3,3.6,90,0,0.165,12.9,0.3,478780.733,6772621.14,345.7
S5_346_516_V2,41,478778.236,6772623.732,358.555,3,3.6,90,0,0.165,12.9,0.3,478778.236,6772623.73,345.7
S5_346_516_V2,42,478775.738,6772626.325,358.421,3,3.6,90,0,0.165,12.7,0.3,478775.738,6772626.32,345.7
S5_346_516_V2,43,478773.24,6772628.917,358.215,3,3.6,90,0,0.165,12.5,0.3,478773.24,6772628.92,345.7
S5_346_516_V2,44,478770.742,6772631.51,358.211,3,3.6,90,0,0.165,12.5,0.3,478770.742,6772631.51,345.7
S5_346_516_V2,45,478769.362,6772633.144,358.183,3,3.6,90,0,0.165,12.5,0.3,478769.362,6772633.14,345.7
S5_346_516_V2,46,478768.16,6772634.382,358.175,3,3.6,75,313.784,0.165,12.9,0.3,478765.747,6772636.7,345.7
S5_346_516_V2,311,478755.14,6772549.432,358.104,3.3,3.8,90,0,0.165,13.6,1.5,478755.14,6772549.43,344.5
S5_346_516_V2,312,478752.793,6772552.421,358.431,3.3,3.8,90,0,0.165,13.9,1.5,478752.793,6772552.42,344.5
S5_346_516_V2,313,478750.447,6772555.41,358.35,3.3,3.8,90,0,0.165,13.9,1.5,478750.447,6772555.41,344.5
S5_346_516_V2,314,478746.679,6772554.864,358.129,3.3,3.8,90,0,0.165,13.6,1.5,478746.679,6772554.86,344.5
S5_346_516_V2,315,478749.414,6772552.128,358.16,3.3,3.8,90,0,0.165,13.7,1.5,478749.414,6772552.13,344.5
S5_346_516_V2,316,478751.947,6772549.216,358.036,3.3,3.8,90,0,0.165,13.5,1.5,478751.947,6772549.22,344.5
S5_346_516_V2,317,478753.717,6772545.9,358.019,3.3,3.8,90,0,0.165,13.5,1.5,478753.717,6772545.9,344.5
S5_346_516_V2,318,478751.901,6772546.983,358.192,3.3,3.8,75,230,0.165,14.2,1.5,478749.091,6772544.62,344.5
S5_346_516_V2,319,478750.531,6772547.994,358.136,3.3,3.8,90,230,0.165,13.6,1.5,478750.531,6772547.99,344.5
S5_346_516_V2,320,478749.126,6772549.581,358.003,3.3,3.8,75,230,0.165,14,1.5,478746.355,6772547.26,344.5
S5_346_516_V2,321,478747.739,6772550.827,358.104,3.3,3.8,90,230,0.165,13.6,1.5,478747.739,6772550.83,344.5
S5_346_516_V2,322,478746.482,6772552.363,358.071,3.3,3.8,75,230,0.165,14.1,1.5,478743.697,6772550.03,344.5
S5_346_516_V2,323,478744.905,6772553.398,358.168,3.3,3.8,90,230,0.165,13.7,1.5,478744.905,6772553.4,344.5
S5_346_516_V2,324,478743.711,6772555.089,358.148,3.3,3.8,75,230,0.165,14.1,1.5,478740.909,6772552.74,344.5
S5_346_516_V2,1,478770.582,6772638.596,358.074,5,6,90,0,0.165,5.5,-1.6,478770.582,6772638.6,352.607
S5_346_516_V2,2,478773.194,6772636.172,358.15,5,6,90,0,0.165,5.3,-1.6,478773.194,6772636.17,352.843
S5_346_516_V2,3,478777.357,6772631.851,358.364,5,6,90,0,0.165,5.5,-1.6,478777.357,6772631.85,352.843
S5_346_516_V2,4,478781.52,6772627.53,358.396,5,6,90,0,0.165,5.6,-1.6,478781.52,6772627.53,352.843
S5_346_516_V2,5,478785.683,6772623.209,358.415,5,6,90,0,0.165,5.6,-1.6,478785.683,6772623.21,352.843
S5_346_516_V2,6,478789.846,6772618.888,358.368,5,6,90,0,0.165,5.5,-1.6,478789.846,6772618.89,352.843
S5_346_516_V2,7,478794.009,6772614.568,358.254,5,6,90,0,0.165,5.4,-1.6,478794.009,6772614.57,352.843
S5_346_516_V2,8,478798.171,6772610.247,358.13,5,6,90,0,0.165,5.3,-1.6,478798.171,6772610.25,352.843
S5_346_516_V2,9,478802.334,6772605.926,358.21,5,6,90,0,0.165,5.4,-1.6,478802.334,6772605.93,352.843
S5_346_516_V2,10,478806.524,6772601.631,358.371,5,6,90,0,0.165,5.5,-1.6,478806.524,6772601.63,352.844
S5_346_516_V2,11,478810.726,6772597.348,358.333,5,6,90,0,0.165,5.5,-1.6,478810.726,6772597.35,352.844
S5_346_516_V2,12,478814.605,6772592.771,357.985,5,6,90,0,0.165,5.1,-1.6,478814.605,6772592.77,352.844
S5_346_516_V2,13,478818.31,6772588.051,357.942,5,6,90,0,0.165,5.1,-1.6,478818.31,6772588.05,352.844
S5_346_516_V2,14,478822.015,6772583.331,357.905,5,6,90,0,0.165,5.1,-1.6,478822.015,6772583.33,352.844
S5_346_516_V2,15,478825.72,6772578.612,357.954,5,6,90,0,0.165,5.1,-1.6,478825.72,6772578.61,352.844
S5_346_516_V2,16,478829.022,6772574.419,357.896,5,6,90,0,0.165,5,-1.6,478829.022,6772574.42,352.853
S5_346_516_V2,17,478832.282,6772570.239,357.769,5,6,90,0,0.165,4.9,-1.6,478832.282,6772570.24,352.835
S5_346_516_V2,18,478835.541,6772566.105,357.774,5,6,90,0,0.165,4.9,-1.6,478835.541,6772566.1,352.847
S5_346_516_V2,47,478831.535,6772560.929,357.571,4.7,5.4,90,140,0.229,13.1,1.5,478831.535,6772560.93,344.5
S5_346_516_V2,48,478827.509,6772562.097,357.874,4.7,5.4,90,51.869,0.229,13.4,1.5,478827.509,6772562.1,344.5
S5_346_516_V2,49,478824.573,6772566.12,357.818,4.7,5.4,90,51.869,0.229,13.3,1.5,478824.573,6772566.12,344.5
S5_346_516_V2,50,478821.53,6772570.024,357.904,4.7,5.4,90,51.869,0.229,13.4,1.5,478821.53,6772570.02,344.5
S5_346_516_V2,51,478818.457,6772573.937,357.967,4.7,5.4,90,51.869,0.229,13.5,1.5,478818.457,6772573.94,344.5
S5_346_516_V2,52,478815.122,6772578.184,357.969,4.7,5.4,90,51.869,0.229,13.5,1.5,478815.122,6772578.18,344.5
S5_346_516_V2,53,478811.788,6772582.432,357.963,4.7,5.4,90,51.869,0.229,13.5,1.5,478811.788,6772582.43,344.5
S5_346_516_V2,54,478808.454,6772586.679,357.888,4.7,5.4,90,51.869,0.229,13.4,1.5,478808.454,6772586.68,344.5
