Blast,Hole ID,X,Y,Z,ToeX,ToeY,ToeZ,Measured Length,Burden,Spacing,Diameter,Length,Angle,Bearing,Subdrill,Planned explosive mass (kg),Time
S4_226_414P_V1,1,478274.25,6772259.199,238.152,478274.4296,6772256.669,228.6859269,9.8,1,1.8,127,9.8,15,175.94,0.3,7.65,0
S4_226_414P_V1,2,478276.042,6772259.373,238.136,478276.2252,6772256.791,228.4767417,10,1,1.8,127,10,15,175.94,0.3,8.1,0
S4_226_414P_V1,3,478277.833,6772259.547,238.142,478278.0199,6772256.914,228.2895566,10.2,1,1.8,127,10.2,15,175.94,0.3,8.1,0
S4_226_414P_V1,4,478279.625,6772259.719,238.125,478279.8137,6772257.06,228.175964,10.3,1,1.8,127,10.3,15,175.94,0.3,8.1,0
S4_226_414P_V1,5,478281.187,6772259.891,238.064,478281.55,6772257.224,228.0183714,10.4,1,1.8,127,10.4,15,172.25,0.3,8.55,0
S4_226_414P_V1,6,478282.971,6772260.135,238.082,478283.341,6772257.417,227.8431862,10.6,1,1.8,127,10.6,15,172.25,0.3,8.55,0
S4_226_414P_V1,7,478284.754,6772260.378,238.103,478285.1309,6772257.608,227.6710011,10.8,1,1.8,127,10.8,15,172.25,0.3,9,0
S4_226_414P_V1,8,478286.538,6772260.615,238.095,478286.9219,6772257.794,227.4698159,11,1,1.8,127,11,15,172.25,0.3,9,0
S4_226_414P_V1,9,478288.322,6772260.855,238.095,478288.7129,6772257.983,227.2766307,11.2,1,1.8,127,11.2,15,172.25,0.3,9,0
S4_226_414P_V1,10,478290.106,6772261.1,238.102,478290.5039,6772258.176,227.0904456,11.4,1,1.8,127,11.4,15,172.25,0.3,9.45,0
S4_226_414P_V1,11,478291.887,6772261.356,238.145,478292.2954,6772258.355,226.8436678,11.7,1,1.8,127,11.7,15,172.25,0.3,9.9,0
S4_226_414P_V1,12,478293.671,6772261.6,238.137,478294.0828,6772258.574,226.7390752,11.8,1,1.8,127,11.8,15,172.25,0.3,9.9,0
S4_226_414P_V1,13,478295.454,6772261.847,238.142,478295.8728,6772258.77,226.5508901,12,1,1.8,127,12,15,172.25,0.3,9.9,0
S4_226_414P_V1,14,478296.839,6772262.152,238.166,478297.6254,6772259.094,226.3817049,12.2,1,1.8,127,12.2,15,165.579,0.3,10.35,0
S4_226_414P_V1,15,478298.572,6772262.637,238.132,478299.3648,6772259.554,226.2511123,12.3,1,1.8,127,12.3,15,165.579,0.3,10.35,0
S4_226_414P_V1,16,478300.301,6772263.139,238.163,478301.1132,6772259.981,225.9923346,12.6,1,1.8,127,12.6,15,165.579,0.3,10.8,0
S4_226_414P_V1,17,478302.032,6772263.634,238.159,478302.8506,6772260.451,225.891742,12.7,1,1.8,127,12.7,15,165.579,0.3,10.8,0
S4_226_414P_V1,18,478303.51,6772264.079,238.182,478304.5878,6772260.919,225.7215568,12.9,1,1.8,127,12.9,15,161.166,0.3,10.8,0
S4_226_414P_V1,19,478305.214,6772264.66,238.182,478306.2918,6772261.5,225.7215568,12.9,1,1.8,127,12.9,15,161.166,0.3,10.8,0
S4_226_414P_V1,20,478306.914,6772265.251,238.22,478308.0002,6772262.067,225.6629643,13,1,1.8,127,13,15,161.166,0.3,11.25,0
S4_226_414P_V1,21,478308.614,6772265.844,238.268,478309.7002,6772262.66,225.7109643,13,1,1.8,127,13,15,161.166,0.3,11.25,0
S4_226_414P_V1,22,478310.317,6772266.426,238.27,478311.4032,6772263.242,225.7129643,13,1,1.8,127,13,15,161.166,0.3,11.25,0
S4_226_414P_V1,23,478312.019,6772267.011,238.288,478313.1052,6772263.827,225.7309643,13,1,1.8,127,13,15,161.166,0.3,11.25,0
