Blast,Hole ID,StartX,StartY,StartZ,EndX,EndY,EndZ,Burden,Spacing,Diameter,Length,Angle,Bearing,Subdrill,Time,Measured Length,Measured Mass
S4_226_401_V1,1,478335.038,6772110.194,236.989,478335.038,6772110.194,232.289,3.6,3,165,4.7,0,0,0,1560,4.7,43
S4_226_401_V1,2,478336.925,6772112.526,237.036,478336.925,6772112.526,231.936,3.6,3,165,5.1,0,0,0,1515,5.1,53
S4_226_401_V1,3,478338.811,6772114.859,237.112,478338.811,6772114.859,231.712,3.6,3,165,5.4,0,0,0,1469,5.4,61
S4_226_401_V1,4,478340.698,6772117.191,237.185,478340.698,6772117.191,231.385,3.6,3,165,5.8,0,0,0,1423,5.8,72
S4_226_401_V1,5,478342.657,6772119.393,237.197,478342.657,6772119.393,231.097,3.6,3,165,6.1,0,0,0,1379,6.1,79
S4_226_401_V1,6,478344.472,6772121.856,237.220,478344.472,6772121.856,230.820,3.6,3,165,6.4,0,0,0,1332,6.4,69
S4_226_401_V1,7,478346.359,6772124.188,237.346,478346.359,6772124.188,230.446,3.6,3,165,6.9,0,0,0,1286,6.9,90
S4_226_401_V1,8,478348.308,6772126.468,237.527,478348.308,6772126.468,230.227,3.6,3,165,7.3,0,0,0,1241,7.3,101
S4_226_401_V1,9,478350.258,6772128.749,237.713,478350.258,6772128.749,229.913,3.6,3,165,7.8,0,0,0,1267,7.8,113
S4_226_401_V1,10,478352.207,6772131.029,237.852,478352.207,6772131.029,229.552,3.6,3,165,8.3,0,0,0,1312,8.3,127
S4_226_401_V1,11,478354.156,6772133.309,237.989,478354.156,6772133.309,229.289,3.6,3,165,8.7,0,0,0,1357,8.7,138
S4_226_401_V1,12,478356.105,6772135.590,238.121,478356.105,6772135.590,229.021,3.6,3,165,9.1,0,0,0,1402,9.1,140
S4_226_401_V1,13,478358.055,6772137.870,238.280,478358.055,6772137.870,228.680,3.6,3,165,9.6,0,0,0,1447,9.6,154
S4_226_401_V1,14,478360.004,6772140.151,238.285,478360.004,6772140.151,228.385,3.6,3,165,9.9,0,0,0,1492,9.9,162
S4_226_401_V1,15,478361.981,6772142.407,238.195,478361.981,6772142.407,228.095,3.6,3,165,10.1,0,0,0,1537,10.1,167
S4_226_401_V1,16,478364.017,6772144.610,238.275,478364.017,6772144.610,227.775,3.6,3,165,10.5,0,0,0,1583,10.5,179
S4_226_401_V1,17,478366.054,6772146.813,238.374,478366.054,6772146.813,227.474,3.6,3,165,10.9,0,0,0,1629,10.9,190
S4_226_401_V1,18,478368.090,6772149.016,238.399,478368.090,6772149.016,227.199,3.6,3,165,11.2,0,0,0,1676,11.2,198
S4_226_401_V1,19,478370.127,6772151.219,238.404,478370.127,6772151.219,226.904,3.6,3,165,11.5,0,0,0,1722,11.5,198
S4_226_401_V1,20,478372.019,6772153.547,238.685,478372.019,6772153.547,226.685,3.6,3,165,12,0,0,0,1766,12,211
S4_226_401_V1,21,478373.901,6772155.883,238.890,478373.901,6772155.883,226.490,3.6,3,165,12.4,0,0,0,1810,12.4,221
S4_226_401_V1,22,478375.762,6772158.236,238.931,478375.762,6772158.236,226.231,3.6,3,165,12.7,0,0,0,1854,12.7,231
S4_226_401_V1,23,478377.616,6772160.595,238.736,478377.616,6772160.595,226.036,3.6,3,165,12.7,0,0,0,1898,12.7,231
S4_226_401_V1,24,478379.561,6772162.879,238.640,478379.561,6772162.879,226.040,3.6,3,165,12.6,0,0,0,1943,12.6,229
S4_226_401_V1,25,478381.505,6772165.163,238.491,478381.505,6772165.163,225.991,3.6,3,165,12.5,0,0,0,1988,12.5,226
S4_226_401_V1,26,478383.450,6772167.448,238.374,478383.450,6772167.448,225.974,3.6,3,165,12.4,0,0,0,2033,12.4,221
